case_id,company,round_original,application_round,round_changed,old_core29,new_core28,membership_change
s1_outline_170,株式会社光製作所,1次,1次,False,False,False,unchanged
s2_outline_16,株式会社ヤマキ,3次,3次,False,False,False,unchanged
s2_outline_32,第一物産株式会社,3次,3次,False,False,False,unchanged
s2_outline_42,中央製乳株式会社,3次,3次,False,False,False,unchanged
s2_outline_48,株式会社サンワ,3次,3次,False,False,False,unchanged
s2_outline_70,株式会社光製作所,3次,3次,False,False,False,unchanged
s2_outline_87,長野牛乳株式会社,3次,3次,False,False,False,unchanged
s2_outline_105,株式会社シード,3次,3次,False,False,False,unchanged
s2_outline_106,河淳株式会社,3次,3次,False,False,False,unchanged
s2_outline_109,株式会社ヤマイシ,3次,3次,False,False,False,unchanged
s2_outline_116,奥伊吹観光株式会社,4次,4次,False,True,True,unchanged
s2_outline_122,杉プラスチック工業株式会社,4次,4次,False,False,False,unchanged
s2_outline_194,リバードコーポレーション株式会社,4次,4次,False,True,True,unchanged
s2_outline_197,株式会社ファイン,3次,3次,False,False,False,unchanged
s2_outline_206,能勢酒造株式会社,4次,4次,False,False,False,unchanged
s2_outline_216,中本Fine Pack株式会社,3次,3次,False,False,False,unchanged
s1_outline_25,日本リファイン株式会社,1次,1次,False,False,False,unchanged
s2_outline_156,上野ロジケム株式会社,4次,4次,False,False,False,unchanged
s1_outline_16,株式会社旭ウエルテック,1次,1次,False,False,False,unchanged
s1_outline_62,サーパス工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_72,ヤマセ電気株式会社,1次,1次,False,False,False,unchanged
s1_outline_85,マルコ工業株式会社,1次,1次,False,False,False,unchanged
s2_outline_3,さくら不動産株式会社,3次,3次,False,False,False,unchanged
s2_outline_40,株式会社英楽,3次,3次,False,False,False,unchanged
s2_outline_85,Ｌ物流株式会社,3次,3次,False,False,False,unchanged
s2_outline_208,NICHIRO株式会社,4次,4次,False,False,False,unchanged
s1_outline_95,ナミックス株式会社,1次,1次,False,False,False,unchanged
s1_outline_162,信光陸運株式会社,1次,2次,True,False,False,unchanged
s2_outline_52,株式会社GYXUS,3次,3次,False,False,False,unchanged
s2_outline_91,ＫＩＤＯ　ＰＡＣＫＡＧＩＮＧ株式会社,3次,3次,False,False,False,unchanged
s2_outline_161,株式会社デイリーエッグ,4次,4次,False,False,False,unchanged
s1_outline_50,株式会社松尾製作所,1次,1次,False,True,True,unchanged
s2_outline_65,ハビックス株式会社,3次,3次,False,False,False,unchanged
s2_outline_72,ときわ製作所株式会社,3次,3次,False,True,True,unchanged
s2_outline_140,都吹株式会社,3次,3次,False,False,False,unchanged
s2_outline_200,有限会社ワンプラスワン,4次,4次,False,False,False,unchanged
s2_outline_19,株式会社高木製作所,3次,3次,False,True,True,unchanged
s1_outline_36,株式会社廣澤精機製作所,1次,1次,False,False,False,unchanged
s1_outline_97,フクシマガリレイ株式会社,1次,1次,False,False,False,unchanged
s1_outline_83,株式会社ヒサダ,1次,1次,False,False,False,unchanged
s2_outline_185,三日月興業株式会社,3次,3次,False,False,False,unchanged
s1_outline__184,泉南乳業株式会社,2次,2次,False,False,False,unchanged
s1_outline__189,長﨑ジャッキ株式会社,2次,2次,False,False,False,unchanged
s1_outline_14,日華化学株式会社,1次,1次,False,False,False,unchanged
s1_outline_34,株式会社柴田合成,1次,1次,False,False,False,unchanged
s1_outline_88,株式会社創味食品,1次,1次,False,False,False,unchanged
s1_outline_107,株式会社ササキ,1次,1次,False,False,False,unchanged
s1_outline_116,株式会社かねふくめんたいパーク,1次,2次,True,False,False,unchanged
s1_outline_127,株式会社ユニワールド,1次,2次,True,False,False,unchanged
s1_outline_152,ヤマトミシン製造株式会社,1次,2次,True,False,False,unchanged
s2_outline_5,奥長良川名水株式会社,3次,3次,False,False,False,unchanged
